corpus_order,paper_id,inspire_id,year,title,authors,document_type,arxiv_ids,dois,report_numbers,inspire_url,pilot_included,pilot_order,pilot_series,full_text_status,local_pdf_path,local_pdf_relative_path,local_pdf_filename,local_pdf_bytes,local_pdf_pages,sha256,source_manifest_sha256,hash_verification,pdf_source,pdf_source_url,alternate_local_artifact_count,alternate_local_artifact_paths,multiple_arxiv_artifacts,duplicate_record_of,record_flags,retrieval_errors
177,hep-th/0201094,581765,2002,Chiral supergravitons interacting with a 0 brane N extended NSR superVirasoro group,"Boveia, Antonio | Larson, Bjorg A. | Rodgers, V.G.J. | Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J.A. | Kimberly, Dagny M.",article,hep-th/0201094,10.1016/S0370-2693(02)01256-X,UMDEPP-02-028 | UIOWA-02-001 | CALT-68-2367,https://inspirehep.net/literature/581765,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0201094_Chiral_supergravitons_interacting_with_a_0_brane_N_extended_NSR_superVirasoro_group.pdf,pdfs/2002_hep-th_0201094_Chiral_supergravitons_interacting_with_a_0_brane_N_extended_NSR_superVirasoro_group.pdf,2002_hep-th_0201094_Chiral_supergravitons_interacting_with_a_0_brane_N_extended_NSR_superVirasoro_group.pdf,173320,16,1ca793efbc3556882854acfc78403c35b0b6db7cf82380f3e3b162be17519e6a,1ca793efbc3556882854acfc78403c35b0b6db7cf82380f3e3b162be17519e6a,matched,arXiv,https://arxiv.org/pdf/hep-th/0201094,0,,false,,,
178,hep-th/0207243,591424,2002,Dynamical superfield theory of free massive superspin-1 multiplet,"Buchbinder, I.L. | Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J.",article,hep-th/0207243,10.1016/S0370-2693(02)02860-5,UMDEPP-03-003,https://inspirehep.net/literature/591424,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0207243_Dynamical_superfield_theory_of_free_massive_superspin_1_multiplet.pdf,pdfs/2002_hep-th_0207243_Dynamical_superfield_theory_of_free_massive_superspin_1_multiplet.pdf,2002_hep-th_0207243_Dynamical_superfield_theory_of_free_massive_superspin_1_multiplet.pdf,153580,13,4e422c1bd4e56fce81a1c348b58eebeece9a2bb4471e0951770abc5aca6b4f5a,4e422c1bd4e56fce81a1c348b58eebeece9a2bb4471e0951770abc5aca6b4f5a,matched,arXiv,https://arxiv.org/pdf/hep-th/0207243,0,,false,,,
179,hep-th/0202112,583078,2002,Is stringy supersymmetry quintessentially challenged?,"Gates, S. James, Jr.",conference paper,hep-th/0202112,,STIAS-02-001 | UMDEPP-02-030 | CALT-68-2366,https://inspirehep.net/literature/583078,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0202112_Is_stringy_supersymmetry_quintessentially_challenged.pdf,pdfs/2002_hep-th_0202112_Is_stringy_supersymmetry_quintessentially_challenged.pdf,2002_hep-th_0202112_Is_stringy_supersymmetry_quintessentially_challenged.pdf,326756,35,3555a5eab540a54ff1dac401b75168b049b4c17a5427c54aa8c97cc7e628f9f5,3555a5eab540a54ff1dac401b75168b049b4c17a5427c54aa8c97cc7e628f9f5,matched,arXiv,https://arxiv.org/pdf/hep-th/0202112,0,,false,,,
180,hep-th/0208105,592994,2002,Minimal superspace vector fields for 5-D minimal supersymmetry,"Gates, S. James, Jr. | Rana, Lubna",article,hep-th/0208105,10.1023/A:1021201715112,UMDEPP-02-56 | CALT-68-2389,https://inspirehep.net/literature/592994,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0208105_Minimal_superspace_vector_fields_for_5_D_minimal_supersymmetry.pdf,pdfs/2002_hep-th_0208105_Minimal_superspace_vector_fields_for_5_D_minimal_supersymmetry.pdf,2002_hep-th_0208105_Minimal_superspace_vector_fields_for_5_D_minimal_supersymmetry.pdf,111058,10,3047b1cace5bb4a8cee8db3bf7370a432ac11c64287ed01d334b0dd1780f21ca,3047b1cace5bb4a8cee8db3bf7370a432ac11c64287ed01d334b0dd1780f21ca,matched,arXiv,https://arxiv.org/pdf/hep-th/0208105,0,,false,,,
181,hep-th/0201096,581767,2002,"New 4-D, N=1 superfield theory: Model of free massive superspin 3/2 multiplet","Buchbinder, I.L. | Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J.",article,hep-th/0201096,10.1016/S0370-2693(02)01772-0,UMDEPP-02-031 | CALT-68-2368,https://inspirehep.net/literature/581767,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0201096_New_4_D_N_1_superfield_theory_Model_of_free_massive_superspin_3_2_multiplet.pdf,pdfs/2002_hep-th_0201096_New_4_D_N_1_superfield_theory_Model_of_free_massive_superspin_3_2_multiplet.pdf,2002_hep-th_0201096_New_4_D_N_1_superfield_theory_Model_of_free_massive_superspin_3_2_multiplet.pdf,161133,14,04b042f56af71bca17cb1458bf0d94bd555b876cdfdfc98d434ba7076e53af3c,04b042f56af71bca17cb1458bf0d94bd555b876cdfdfc98d434ba7076e53af3c,matched,arXiv,https://arxiv.org/pdf/hep-th/0201096,0,,false,,,
182,hep-th/0211021,601268,2002,Short Distance Expansion from the Dual Representation of Infinite Dimensional Lie Algebras,"Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J. | Rodgers, V.G.J.",article,hep-th/0211021,10.1007/s00220-004-1048-0,UMDEPP-03-025,https://inspirehep.net/literature/601268,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0211021_Short_Distance_Expansion_from_the_Dual_Representation_of_Infinite_Dimensional_Lie_Algebras.pdf,pdfs/2002_hep-th_0211021_Short_Distance_Expansion_from_the_Dual_Representation_of_Infinite_Dimensional_Lie_Algebras.pdf,2002_hep-th_0211021_Short_Distance_Expansion_from_the_Dual_Representation_of_Infinite_Dimensional_Lie_Algebras.pdf,277504,21,bcbd6fec4d869ef9edaadb07b3d0b33d510039aaaab20d6b0fdd8973a8e39999,bcbd6fec4d869ef9edaadb07b3d0b33d510039aaaab20d6b0fdd8973a8e39999,matched,arXiv,https://arxiv.org/pdf/hep-th/0211021,0,,false,,,
183,hep-th/0211034,601439,2002,When superspace is not enough,"Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J.",article,hep-th/0211034,,UMDEPP-02-054 | CALT-68-2387,https://inspirehep.net/literature/601439,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2002_hep-th_0211034_When_superspace_is_not_enough.pdf,pdfs/2002_hep-th_0211034_When_superspace_is_not_enough.pdf,2002_hep-th_0211034_When_superspace_is_not_enough.pdf,356785,45,1c356b7ef6001a2f4943856dc53a2eb30bbaa500fecb8b98c33ee126cfbc87c6,1c356b7ef6001a2f4943856dc53a2eb30bbaa500fecb8b98c33ee126cfbc87c6,matched,arXiv,https://arxiv.org/pdf/hep-th/0211034,0,,false,,,
184,hep-th/0311153,633544,2003,"Field strengths of linearized 5-D, N=1 superfield supergravity on a three-brane","Gates, S.James, Jr. | Linch, William Divine, III | Phillips, J.",article,hep-th/0311153,10.1088/1126-6708/2005/02/036,UMDEPP-04-009 | UFIFT-HEP-03-31,https://inspirehep.net/literature/633544,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2003_hep-th_0311153_Field_strengths_of_linearized_5_D_N_1_superfield_supergravity_on_a_three_brane.pdf,pdfs/2003_hep-th_0311153_Field_strengths_of_linearized_5_D_N_1_superfield_supergravity_on_a_three_brane.pdf,2003_hep-th_0311153_Field_strengths_of_linearized_5_D_N_1_superfield_supergravity_on_a_three_brane.pdf,217986,18,41a38dfdda7e9b82c0c065d914cdc8a1ab941b70736533f8ee03d0192e9a7ae6,41a38dfdda7e9b82c0c065d914cdc8a1ab941b70736533f8ee03d0192e9a7ae6,matched,arXiv,https://arxiv.org/pdf/hep-th/0311153,0,,false,,,
185,hep-th/0312040,634664,2003,"M theory on spin(7) manifolds, fluxes and 3-D, N=1 supergravity","Becker, Melanie | Constantin, Dragos | Gates, S.James, Jr. | Linch, William Divine, III | Merrell, Willie | Phillips, J.",article,hep-th/0312040,10.1016/j.nuclphysb.2004.01.013,UMD-PP-03-071,https://inspirehep.net/literature/634664,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2003_hep-th_0312040_M_theory_on_spin_7_manifolds_fluxes_and_3_D_N_1_supergravity.pdf,pdfs/2003_hep-th_0312040_M_theory_on_spin_7_manifolds_fluxes_and_3_D_N_1_supergravity.pdf,2003_hep-th_0312040_M_theory_on_spin_7_manifolds_fluxes_and_3_D_N_1_supergravity.pdf,379219,37,82e9b3254347d8fe09d8124620ea67c5336a9951589b68516b19a89188575d8a,82e9b3254347d8fe09d8124620ea67c5336a9951589b68516b19a89188575d8a,matched,arXiv,https://arxiv.org/pdf/hep-th/0312040,0,,false,,,
186,hep-th/0305169,619144,2003,Supergravity loop contributions to brane world supersymmetry breaking,"Buchbinder, I.L. | Gates, S.James, Jr. | Goh, Hock-Seng | Linch, William Divine, III | Luty, Markus A. | Ng, Siew-Phang | Phillips, J.",article,hep-th/0305169,10.1103/PhysRevD.70.025008,UMD-PP-03-008,https://inspirehep.net/literature/619144,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2003_hep-th_0305169_Supergravity_loop_contributions_to_brane_world_supersymmetry_breaking.pdf,pdfs/2003_hep-th_0305169_Supergravity_loop_contributions_to_brane_world_supersymmetry_breaking.pdf,2003_hep-th_0305169_Supergravity_loop_contributions_to_brane_world_supersymmetry_breaking.pdf,148547,13,5d1d26b5b7dd9bf4f64a3e2628c1876c4aed2d16f80d317009fc3e5990e926f3,5d1d26b5b7dd9bf4f64a3e2628c1876c4aed2d16f80d317009fc3e5990e926f3,matched,arXiv,https://arxiv.org/pdf/hep-th/0305169,0,,false,,,
187,hep-th/0306288,622349,2003,"The Off-shell (3/2, 2) supermultiplets revisited","Gates, S.James, Jr. | Kuzenko, Sergei M. | Phillips, J.",article,hep-th/0306288,10.1016/j.physletb.2003.09.085,UMDEPP-03-053,https://inspirehep.net/literature/622349,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2003_hep-th_0306288_The_Off_shell_3_2_2_supermultiplets_revisited.pdf,pdfs/2003_hep-th_0306288_The_Off_shell_3_2_2_supermultiplets_revisited.pdf,2003_hep-th_0306288_The_Off_shell_3_2_2_supermultiplets_revisited.pdf,185068,14,79fed8eb163ddfbb50fceda660660315fcae725c0bcec97fdeb83b554387f228,79fed8eb163ddfbb50fceda660660315fcae725c0bcec97fdeb83b554387f228,matched,arXiv,https://arxiv.org/pdf/hep-th/0306288,0,,false,,,
188,hep-th/0408004,655613,2004,Adinkras: A Graphical technology for supersymmetric representation theory,"Faux, Michael | Gates, S.J., Jr.",article,hep-th/0408004,10.1103/PhysRevD.71.065002,HWS-2004-A07 | UMDEPP-05-007 | HWS2004-A07,https://inspirehep.net/literature/655613,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2004_hep-th_0408004_Adinkras_A_Graphical_technology_for_supersymmetric_representation_theory.pdf,pdfs/2004_hep-th_0408004_Adinkras_A_Graphical_technology_for_supersymmetric_representation_theory.pdf,2004_hep-th_0408004_Adinkras_A_Graphical_technology_for_supersymmetric_representation_theory.pdf,429203,44,2e9087e37f8d0790a7118b195b3f38d3c39f995da32693d65564b7d70213f54d,2e9087e37f8d0790a7118b195b3f38d3c39f995da32693d65564b7d70213f54d,matched,arXiv,https://arxiv.org/pdf/hep-th/0408004,0,,false,,,
189,hep-th/0409014,658189,2004,Can the string scale be related to the cosmic baryon asymmetry?,"Alexander, Stephon H.S. | Gates, S.James, Jr.",article,hep-th/0409014,10.1088/1475-7516/2006/06/018,SLAC-PUB-10688 | UMDEPP-05-014,https://inspirehep.net/literature/658189,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2004_hep-th_0409014_Can_the_string_scale_be_related_to_the_cosmic_baryon_asymmetry.pdf,pdfs/2004_hep-th_0409014_Can_the_string_scale_be_related_to_the_cosmic_baryon_asymmetry.pdf,2004_hep-th_0409014_Can_the_string_scale_be_related_to_the_cosmic_baryon_asymmetry.pdf,157609,15,d78847fb8534382e8d15103f1dd8955736c7316f7b98be09d686936c48099f3e,d78847fb8534382e8d15103f1dd8955736c7316f7b98be09d686936c48099f3e,matched,arXiv,https://arxiv.org/pdf/hep-th/0409014,0,,false,,,
190,hep-th/0409104,658781,2004,"Dynamical equations from a first-order perturbative superspace formulation of 10D, N=1 string-corrected supergravity. (I)","Gates, S.James, Jr. | Kiss, Annamaria | Merrell, Willie",article,hep-th/0409104,10.1088/1126-6708/2004/12/047,UMDEPP-05-010,https://inspirehep.net/literature/658781,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2004_hep-th_0409104_Dynamical_equations_from_a_first_order_perturbative_superspace_formulation_of_10D_N_1_stri.pdf,pdfs/2004_hep-th_0409104_Dynamical_equations_from_a_first_order_perturbative_superspace_formulation_of_10D_N_1_stri.pdf,2004_hep-th_0409104_Dynamical_equations_from_a_first_order_perturbative_superspace_formulation_of_10D_N_1_stri.pdf,190945,21,6f2f24cd834d9ef800bf0abe648684516c62880b87367ba0f6568985d65614fb,6f2f24cd834d9ef800bf0abe648684516c62880b87367ba0f6568985d65614fb,matched,arXiv,https://arxiv.org/pdf/hep-th/0409104,0,,false,,,
191,inspire:671443,671443,2004,Porous low-k dielectrics: Material properties,"Turk, B.E. | Wong, T.Yian | Schwarzenbacher, R. | Jarrell, E.T. | Tyberg, S.H.C. | Huang, E. | Hedrick, J.L. | Simonyi, E. | Gates, S. | Cohen, S. | Malone, K. | Wickland, H. | Sankarapandian, M. | Toney, M.F. | Kim, H.-C. | Miller, R.D. | Volksen, W. | Rice, P. | Lurio, L.B.",article,,,SLAC-REPRINT-2004-394,https://inspirehep.net/literature/671443,false,,,metadata_only,,,,,,,,,,,0,,false,,,
192,hep-th/0410070,661400,2004,Supersymmetric embedding of the quantum Hall matrix model,"Gates, S.James, Jr. | Jellal, Ahmed | Saidi, EL Hassan | Schreiber, Michael",article,hep-th/0410070,10.1088/1126-6708/2004/11/075,GNPHE-0402 | CDUTPG-04-01 | UMDEPP-05-018,https://inspirehep.net/literature/661400,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2004_hep-th_0410070_Supersymmetric_embedding_of_the_quantum_Hall_matrix_model.pdf,pdfs/2004_hep-th_0410070_Supersymmetric_embedding_of_the_quantum_Hall_matrix_model.pdf,2004_hep-th_0410070_Supersymmetric_embedding_of_the_quantum_Hall_matrix_model.pdf,321177,30,77c403b1b09e00544efb600ca11e597cdb777465639a109c9ee3a11b315ad402,77c403b1b09e00544efb600ca11e597cdb777465639a109c9ee3a11b315ad402,matched,arXiv,https://arxiv.org/pdf/hep-th/0410070,0,,false,,,
193,hep-th/0506255,686382,2005,"4D, N = 1 higher spin gauge superfields and quantized twistors","Gates, S.James, Jr. | Kuzenko, Sergei M.",article,hep-th/0506255,10.1088/1126-6708/2005/10/008,UMDEPP-05-046,https://inspirehep.net/literature/686382,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2005_hep-th_0506255_4D_N_1_higher_spin_gauge_superfields_and_quantized_twistors.pdf,pdfs/2005_hep-th_0506255_4D_N_1_higher_spin_gauge_superfields_and_quantized_twistors.pdf,2005_hep-th_0506255_4D_N_1_higher_spin_gauge_superfields_and_quantized_twistors.pdf,255071,22,97c051efc3e4bd41eb9ad8636cc6268c77f358873ebd5bf89f1347ede8d95180,97c051efc3e4bd41eb9ad8636cc6268c77f358873ebd5bf89f1347ede8d95180,matched,arXiv,https://arxiv.org/pdf/hep-th/0506255,0,,false,,,
194,hep-th/0508187,690796,2005,"6D supersymmetry, projective superspace and 4D, N=1 superfields","Gates, S.James, Jr. | Penati, Silvia | Tartaglino-Mazzucchelli, Gabriele",article,hep-th/0508187,10.1088/1126-6708/2006/05/051,UMDEPP-05-134 | BICOCCA-FT-05-21,https://inspirehep.net/literature/690796,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2005_hep-th_0508187_6D_supersymmetry_projective_superspace_and_4D_N_1_superfields.pdf,pdfs/2005_hep-th_0508187_6D_supersymmetry_projective_superspace_and_4D_N_1_superfields.pdf,2005_hep-th_0508187_6D_supersymmetry_projective_superspace_and_4D_N_1_superfields.pdf,235907,27,538deef03ff7c65e5732993b86e51fd0167cadfe7420330b37ac8626e0cbcd22,538deef03ff7c65e5732993b86e51fd0167cadfe7420330b37ac8626e0cbcd22,matched,arXiv,https://arxiv.org/pdf/hep-th/0508187,0,,false,,,
195,inspire:706881,706881,2005,Introductory and fundamental mathematical aspects of supersymmetry,"Gates, S.J.",conference paper,,,,https://inspirehep.net/literature/706881,false,,,metadata_only,,,,,,,,,,,0,,false,,,
196,hep-th/0501199,675561,2005,"Massive 4D, N=1 superspin 1 and 3/2 multiplets and dualities","Buchbinder, I.L. | James Gates, S., Jr. | Kuzenko, S.M. | Phillips, J.",article,hep-th/0501199,10.1088/1126-6708/2005/02/056,UMDEPP-05-038 | UFIFT-HEP-05-4,https://inspirehep.net/literature/675561,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2005_hep-th_0501199_Massive_4D_N_1_superspin_1_and_3_2_multiplets_and_dualities.pdf,pdfs/2005_hep-th_0501199_Massive_4D_N_1_superspin_1_and_3_2_multiplets_and_dualities.pdf,2005_hep-th_0501199_Massive_4D_N_1_superspin_1_and_3_2_multiplets_and_dualities.pdf,219418,15,b8f7ac7c72ef4875263c9242f0f614f0dff628962b4b706fb01d94d86794dcfe,b8f7ac7c72ef4875263c9242f0f614f0dff628962b4b706fb01d94d86794dcfe,matched,arXiv,https://arxiv.org/pdf/hep-th/0501199,0,,false,,,
197,math-ph/0512016,699968,2005,"On graph-theoretic identifications of Adinkras, supersymmetry representations and superfields","Doran, C.F. | Faux, M.G. | S.J.Gates, Jr. | Hübsch, T. | Iga, K.M. | Landweber, G.D.",article,math-ph/0512016,10.1142/S0217751X07035112,,https://inspirehep.net/literature/699968,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2005_math-ph_0512016_On_graph_theoretic_identifications_of_Adinkras_supersymmetry_representations_and_superfiel.pdf,pdfs/2005_math-ph_0512016_On_graph_theoretic_identifications_of_Adinkras_supersymmetry_representations_and_superfiel.pdf,2005_math-ph_0512016_On_graph_theoretic_identifications_of_Adinkras_supersymmetry_representations_and_superfiel.pdf,612069,58,4cba509d565b4bc7d3fc6814ee259e376543057edf95ae0922d874f6f9dd8c0f,4cba509d565b4bc7d3fc6814ee259e376543057edf95ae0922d874f6f9dd8c0f,matched,arXiv,https://arxiv.org/pdf/math-ph/0512016,0,,false,,,
198,hep-th/0604042,714004,2006,"6D Supersymmetric Nonlinear Sigma-Models in 4D, N=1 Superspace","Gates, S.James, Jr. | Penati, Silvia | Tartaglino-Mazzucchelli, Gabriele",article,hep-th/0604042,10.1088/1126-6708/2006/09/006,UMDEPP-06-003 | BICOCCA-FT-06-6,https://inspirehep.net/literature/714004,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2006_hep-th_0604042_6D_Supersymmetric_Nonlinear_Sigma_Models_in_4D_N_1_Superspace.pdf,pdfs/2006_hep-th_0604042_6D_Supersymmetric_Nonlinear_Sigma_Models_in_4D_N_1_Superspace.pdf,2006_hep-th_0604042_6D_Supersymmetric_Nonlinear_Sigma_Models_in_4D_N_1_Superspace.pdf,316422,35,b52b82a4b43c5c7fafd4af472bfe1061e2344795b4853f263d73979ca7cfeee6,b52b82a4b43c5c7fafd4af472bfe1061e2344795b4853f263d73979ca7cfeee6,matched,arXiv,https://arxiv.org/pdf/hep-th/0604042,0,,false,,,
199,hep-th/0611060,731002,2006,"A Counter-example to a putative classification of 1-dimensional, N-extended supermultiplets","Doran, C.F. | Faux, M.G. | Gates, S.J., Jr. | Hubsch, T. | Iga, K.M. | Landweber, G.D.",article,hep-th/0611060,,UMDEPP-06-056,https://inspirehep.net/literature/731002,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2006_hep-th_0611060_A_Counter_example_to_a_putative_classification_of_1_dimensional_N_extended_supermultiplets.pdf,pdfs/2006_hep-th_0611060_A_Counter_example_to_a_putative_classification_of_1_dimensional_N_extended_supermultiplets.pdf,2006_hep-th_0611060_A_Counter_example_to_a_putative_classification_of_1_dimensional_N_extended_supermultiplets.pdf,194426,10,2979aefa5943dfd9c14f351b15cf58838af9803ee8e56ebca50444634b122e04,2979aefa5943dfd9c14f351b15cf58838af9803ee8e56ebca50444634b122e04,matched,arXiv,https://arxiv.org/pdf/hep-th/0611060,0,,false,,,
200,hep-th/0602259,711216,2006,A Journey through garden algebras,"Bellucci, Stefano | Gates, Sylvester James, Jr. | Orazi, Emanuele",conference paper,hep-th/0602259,10.1007/3-540-33314-2_1,,https://inspirehep.net/literature/711216,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2006_hep-th_0602259_A_Journey_through_garden_algebras.pdf,pdfs/2006_hep-th_0602259_A_Journey_through_garden_algebras.pdf,2006_hep-th_0602259_A_Journey_through_garden_algebras.pdf,824358,50,f877ac5fdccf1088e9615e8f7484f27bdeb4fa52735181c84f015fa8f19508e0,f877ac5fdccf1088e9615e8f7484f27bdeb4fa52735181c84f015fa8f19508e0,matched,arXiv,https://arxiv.org/pdf/hep-th/0602259,0,,false,,,
201,hep-th/0605269,717895,2006,Adinkras and the Dynamics of Superspace Prepotentials,"Doran, C.F. | Faux, M.G. | Gates, S.J., Jr. | Hubsch, T. | Iga, K.M. | Landweber, G.D.",article,hep-th/0605269,,UMDEPP-06-011,https://inspirehep.net/literature/717895,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2006_hep-th_0605269_Adinkras_and_the_Dynamics_of_Superspace_Prepotentials.pdf,pdfs/2006_hep-th_0605269_Adinkras_and_the_Dynamics_of_Superspace_Prepotentials.pdf,2006_hep-th_0605269_Adinkras_and_the_Dynamics_of_Superspace_Prepotentials.pdf,545561,42,f5a6e54871bf6a36918a039dd005d6caeea397cede9bc54e9bbb3db2d605129a,f5a6e54871bf6a36918a039dd005d6caeea397cede9bc54e9bbb3db2d605129a,matched,arXiv,https://arxiv.org/pdf/hep-th/0605269,0,,false,,,
202,inspire:723249,723249,2006,Is string theory phenomenologically viable?,"Gates, S.J.",article,,10.1063/1.2218556,,https://inspirehep.net/literature/723249,false,,,metadata_only,,,,,,,,,,,0,,false,,,Crossref full text: HTTP 403 | DOI content negotiation: not PDF (text/html;charset=UTF-8)
203,hep-th/0610333,730507,2006,New massive supergravity multiplets,"Gates, S.James, Jr. | Kuzenko, Sergei M. | Tartaglino-Mazzucchelli, Gabriele",article,hep-th/0610333,10.1088/1126-6708/2007/02/052,UMDEPP-06-055,https://inspirehep.net/literature/730507,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2006_hep-th_0610333_New_massive_supergravity_multiplets.pdf,pdfs/2006_hep-th_0610333_New_massive_supergravity_multiplets.pdf,2006_hep-th_0610333_New_massive_supergravity_multiplets.pdf,167604,18,cde8c606088f2489f8314d9dc3f072976b66a03c85e64e8d0ad13dbe545ba304,cde8c606088f2489f8314d9dc3f072976b66a03c85e64e8d0ad13dbe545ba304,matched,arXiv,https://arxiv.org/pdf/hep-th/0610333,0,,false,,,
204,0705.3207,751168,2007,"D=2 N=(2,2) Semi Chiral Vector Multiplet","Gates, S.James, Jr. | Merrell, Willie",article,0705.3207,10.1088/1126-6708/2007/10/035,UMDEPP-07-002,https://inspirehep.net/literature/751168,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2007_0705.3207_D_2_N_2_2_Semi_Chiral_Vector_Multiplet.pdf,pdfs/2007_0705.3207_D_2_N_2_2_Semi_Chiral_Vector_Multiplet.pdf,2007_0705.3207_D_2_N_2_2_Semi_Chiral_Vector_Multiplet.pdf,133506,15,66233c5bb40cc772b77db1b8545463924f3ad65f6aea3eecdad82caa981739ae,66233c5bb40cc772b77db1b8545463924f3ad65f6aea3eecdad82caa981739ae,matched,arXiv,https://arxiv.org/pdf/0705.3207,0,,false,,,
205,0710.5245,765824,2007,On the matter of N=2 matter,"Doran, C. F. | Faux, M. G. | Gates, S. J., Jr. | Hubsch, T. | Iga, K. M. | Landweber, G. D.",article,0710.5245,10.1016/j.physletb.2007.11.001,UMDEPP-07-011 | SUNY-O-666,https://inspirehep.net/literature/765824,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2007_0710.5245_On_the_matter_of_N_2_matter.pdf,pdfs/2007_0710.5245_On_the_matter_of_N_2_matter.pdf,2007_0710.5245_On_the_matter_of_N_2_matter.pdf,489190,12,1b37e3837f1a37a994e02d071a45eccebc2a8da9d0e42c5c0068aed725f2b363,1b37e3837f1a37a994e02d071a45eccebc2a8da9d0e42c5c0068aed725f2b363,matched,arXiv,https://arxiv.org/pdf/0710.5245,0,,false,,,
206,inspire:772961,772961,2007,Revealing some of the hidden representation theory of supersymmetry,"Gates, S.James",conference paper,,10.1063/1.2803799,,https://inspirehep.net/literature/772961,false,,,metadata_only,,,,,,,,,,,0,,false,,,DOI content negotiation: HTTP 403
207,0811.3410,803194,2008,"Adinkras for Clifford Algebras, and Worldline Supermultiplets","Doran, C.F. | Faux, M.G. | Gates, S.J., Jr. | Hubsch, T. | Iga, K.M. | Landweber, G.D. | Miller, R.L.",article,0811.3410,,UMDEPP-08-020 | SUNY-O-670,https://inspirehep.net/literature/803194,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2008_0811.3410_Adinkras_for_Clifford_Algebras_and_Worldline_Supermultiplets.pdf,pdfs/2008_0811.3410_Adinkras_for_Clifford_Algebras_and_Worldline_Supermultiplets.pdf,2008_0811.3410_Adinkras_for_Clifford_Algebras_and_Worldline_Supermultiplets.pdf,1475243,56,affbcaa7c4476b28c21460f2f69651ac31f73bdd6ae9771c6c12bddb8b7ba096,affbcaa7c4476b28c21460f2f69651ac31f73bdd6ae9771c6c12bddb8b7ba096,matched,arXiv,https://arxiv.org/pdf/0811.3410,0,,false,,,
208,0809.5279,798100,2008,Frames for supersymmetry,"Doran, C.F. | Faux, M.G. | Gates, S.J.Jr. | Hubsch, T. | Iga, K.M. | Landweber, G.D.",article,0809.5279,10.1142/S0217751X09044644,SUNY-O-667 | UMDEPP-08-018,https://inspirehep.net/literature/798100,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2008_0809.5279_Frames_for_supersymmetry.pdf,pdfs/2008_0809.5279_Frames_for_supersymmetry.pdf,2008_0809.5279_Frames_for_supersymmetry.pdf,1019500,14,7e542c5b16b2b19d4004c30395fde147842f421a39f696a45fbf9c0bbd5f70e8,7e542c5b16b2b19d4004c30395fde147842f421a39f696a45fbf9c0bbd5f70e8,matched,arXiv,https://arxiv.org/pdf/0809.5279,0,,false,,,
