corpus_order,paper_id,inspire_id,year,title,authors,document_type,arxiv_ids,dois,report_numbers,inspire_url,pilot_included,pilot_order,pilot_series,full_text_status,local_pdf_path,local_pdf_relative_path,local_pdf_filename,local_pdf_bytes,local_pdf_pages,sha256,source_manifest_sha256,hash_verification,pdf_source,pdf_source_url,alternate_local_artifact_count,alternate_local_artifact_paths,multiple_arxiv_artifacts,duplicate_record_of,record_flags,retrieval_errors
157,hep-th/9806038,471405,1998,Superspace geometrical representations of extended super Virasoro algebras,"Gates, S.James, Jr. | Rana, Lubna",article,hep-th/9806038,10.1016/S0370-2693(98)00937-X,UMDEPP-98-114,https://inspirehep.net/literature/471405,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1998_hep-th_9806038_Superspace_geometrical_representations_of_extended_super_Virasoro_algebras.pdf,pdfs/1998_hep-th_9806038_Superspace_geometrical_representations_of_extended_super_Virasoro_algebras.pdf,1998_hep-th_9806038_Superspace_geometrical_representations_of_extended_super_Virasoro_algebras.pdf,137516,13,29ce5f82cec280d04611040853fa13103c1da98049445035b6a4f2f084b28e03,29ce5f82cec280d04611040853fa13103c1da98049445035b6a4f2f084b28e03,matched,arXiv,https://arxiv.org/pdf/hep-th/9806038,0,,false,,,
158,hep-th/9810137,478126,1998,The CNM hypermultiplet nexus,"Gates, S.James, Jr. | Kuzenko, Sergei M.",article,hep-th/9810137,10.1016/S0550-3213(98)00870-0,UMDEPP-98-133 | UNIV.-OF-MARYLAND-PHYSICS-DEPT.-UMDEPP-98-133,https://inspirehep.net/literature/478126,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1998_hep-th_9810137_The_CNM_hypermultiplet_nexus.pdf,pdfs/1998_hep-th_9810137_The_CNM_hypermultiplet_nexus.pdf,1998_hep-th_9810137_The_CNM_hypermultiplet_nexus.pdf,226390,23,18c06b987654517aff6191bcd0e9a2fedfb331d5dfaeb441f9610776cef8ee70,18c06b987654517aff6191bcd0e9a2fedfb331d5dfaeb441f9610776cef8ee70,matched,arXiv,https://arxiv.org/pdf/hep-th/9810137,0,,false,,,
159,hep-th/9903013,496070,1999,"4-D, N=2 supersymmetric off-shell sigma models on the cotangent bundles of Kahler manifolds","Gates, S.James, Jr. | Kuzenko, Sergei M.",conference paper,hep-th/9903013,10.1002/(SICI)1521-3978(20001)48:1/3<115::AID-PROP115>3.0.CO;2-F | 10.1002/(SICI)1521-3978(20001)48:1/3<115::AID-PROP115>3.3.CO;2-6,UMDEPP-99-91 | UMDEPP-99-091,https://inspirehep.net/literature/496070,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1999_hep-th_9903013_4_D_N_2_supersymmetric_off_shell_sigma_models_on_the_cotangent_bundles_of_Kahler_manifolds.pdf,pdfs/1999_hep-th_9903013_4_D_N_2_supersymmetric_off_shell_sigma_models_on_the_cotangent_bundles_of_Kahler_manifolds.pdf,1999_hep-th_9903013_4_D_N_2_supersymmetric_off_shell_sigma_models_on_the_cotangent_bundles_of_Kahler_manifolds.pdf,98596,6,557aac7924dbe249758a7c7ab7eccc908eadcb2ea1b259dd2d795c9c8a436a5d,557aac7924dbe249758a7c7ab7eccc908eadcb2ea1b259dd2d795c9c8a436a5d,matched,arXiv,https://arxiv.org/pdf/hep-th/9903013,0,,false,,,
160,hep-th/9902211,495995,1999,"CNM models, holomorphic functions and projective superspace C maps","Gates, S.James, Jr. | Hubsch, Tristan | Kuzenko, Sergei M.",article,hep-th/9902211,10.1016/S0550-3213(99)00370-3,UMDEPP-99-99,https://inspirehep.net/literature/495995,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1999_hep-th_9902211_CNM_models_holomorphic_functions_and_projective_superspace_C_maps.pdf,pdfs/1999_hep-th_9902211_CNM_models_holomorphic_functions_and_projective_superspace_C_maps.pdf,1999_hep-th_9902211_CNM_models_holomorphic_functions_and_projective_superspace_C_maps.pdf,216339,19,25cd02bf4ab83e50af3956f383e8058804360a1bcc59853568cd2030e3c82f54,25cd02bf4ab83e50af3956f383e8058804360a1bcc59853568cd2030e3c82f54,matched,arXiv,https://arxiv.org/pdf/hep-th/9902211,0,,false,,,
161,hep-ph/9912362,511618,1999,Searching for supersymmetry in hadrons,"Gates, S.James, Jr. | Lebedev, Oleg",article,hep-ph/9912362,10.1016/S0370-2693(00)00172-6,UMDEPP-00-047 | UMDEPP-00-47 | UMDEPP 00-47 | VPI-IPPAP-99-12,https://inspirehep.net/literature/511618,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1999_hep-ph_9912362_Searching_for_supersymmetry_in_hadrons.pdf,pdfs/1999_hep-ph_9912362_Searching_for_supersymmetry_in_hadrons.pdf,1999_hep-ph_9912362_Searching_for_supersymmetry_in_hadrons.pdf,147581,14,5ef22bcbcc79ba29dd7091960aa6d99f1fb5cdc2f3e27165a71ba613b5c20f1f,5ef22bcbcc79ba29dd7091960aa6d99f1fb5cdc2f3e27165a71ba613b5c20f1f,matched,arXiv,https://arxiv.org/pdf/hep-ph/9912362,0,,false,,duplicate_doi_alias_removed,
162,hep-th/9908136,505941,1999,The * Report,"Nishino, Hitoshi | Gates, S.James, Jr.",article,hep-th/9908136,10.1088/0264-9381/17/10/308,UMDEPP-00-005,https://inspirehep.net/literature/505941,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/1999_hep-th_9908136_The_Report.pdf,pdfs/1999_hep-th_9908136_The_Report.pdf,1999_hep-th_9908136_The_Report.pdf,154922,13,17b9a97bfefaeb7ea6bbed704771d2d9d70ecef8c8013df2505fc53911b533cd,17b9a97bfefaeb7ea6bbed704771d2d9d70ecef8c8013df2505fc53911b533cd,matched,arXiv,https://arxiv.org/pdf/hep-th/9908136,0,,false,,,
163,hep-th/0002045,523721,2000,"Holomorphy, minimal homotopy and the 4-D, N=1 supersymmetric Bardeen-Gross-Jackiw anomaly","Gates, S.James, Jr. | Grisaru, Marcus T. | Penati, Silvia",article,hep-th/0002045,10.1016/S0370-2693(00)00464-0,BICOCCA-FT-00-01 | BRX-TH-470 | MCGILL-00-05 | UMDEPP-00-049,https://inspirehep.net/literature/523721,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0002045_Holomorphy_minimal_homotopy_and_the_4_D_N_1_supersymmetric_Bardeen_Gross_Jackiw_anomaly.pdf,pdfs/2000_hep-th_0002045_Holomorphy_minimal_homotopy_and_the_4_D_N_1_supersymmetric_Bardeen_Gross_Jackiw_anomaly.pdf,2000_hep-th_0002045_Holomorphy_minimal_homotopy_and_the_4_D_N_1_supersymmetric_Bardeen_Gross_Jackiw_anomaly.pdf,172933,17,7e4bf3f639b2723a3660536dce09c81d7ee8df3ff8884abad8d8a7d9a6a3dd2d,7e4bf3f639b2723a3660536dce09c81d7ee8df3ff8884abad8d8a7d9a6a3dd2d,matched,arXiv,https://arxiv.org/pdf/hep-th/0002045,0,,false,,,
164,hep-th/0004202,526708,2000,Irreducible decomposition of products of 10-D chiral sigma matrices,"Gates, S.James, Jr. | Radak, B. | Rodgers, V.G.J.",article,hep-th/0004202,10.1016/S0010-4655(00)00251-4,,https://inspirehep.net/literature/526708,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0004202_Irreducible_decomposition_of_products_of_10_D_chiral_sigma_matrices.pdf,pdfs/2000_hep-th_0004202_Irreducible_decomposition_of_products_of_10_D_chiral_sigma_matrices.pdf,2000_hep-th_0004202_Irreducible_decomposition_of_products_of_10_D_chiral_sigma_matrices.pdf,190766,27,1efa68911d00fd65fc035bc4b658fad6b9f37326bcb19b4786f4f5551bd0fd8c,1efa68911d00fd65fc035bc4b658fad6b9f37326bcb19b4786f4f5551bd0fd8c,matched,arXiv,https://arxiv.org/pdf/hep-th/0004202,0,,false,,,
165,hep-th/0002010,523537,2000,Superspace geometrical realization of the N extended super Virasoro algebra and its dual,"Curto, C. | Gates, S.James, Jr. | Rodgers, V.G.J.",article,hep-th/0002010,10.1016/S0370-2693(00)00400-7,UMDEPP-00-049,https://inspirehep.net/literature/523537,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0002010_Superspace_geometrical_realization_of_the_N_extended_super_Virasoro_algebra_and_its_dual.pdf,pdfs/2000_hep-th_0002010_Superspace_geometrical_realization_of_the_N_extended_super_Virasoro_algebra_and_its_dual.pdf,2000_hep-th_0002010_Superspace_geometrical_realization_of_the_N_extended_super_Virasoro_algebra_and_its_dual.pdf,182972,18,606af1abeea1615bb51669a612fc22eee28878edb091a2328ffd8069fc46e436,606af1abeea1615bb51669a612fc22eee28878edb091a2328ffd8069fc46e436,matched,arXiv,https://arxiv.org/pdf/hep-th/0002010,0,,false,,,
166,hep-th/0009192,534176,2000,Supersymmetric gauge anomaly with general homotopic paths,"Gates, S. James, Jr. | Grisaru, Marcus T. | Knutt, Marcia E. | Penati, Silvia | Suzuki, Hiroshi",article,hep-th/0009192,10.1016/S0550-3213(00)00676-3,BICOCCA-FT-00-13 | BRX-TH-479 | IU-MSTP-41 | MCGILL-00-28 | UMDEPP-01-098 | UMDEPP --01-098,https://inspirehep.net/literature/534176,false,,,verified_local_pdf,/Users/brandon/Documents/S_James_Gates_Publications/pdfs/2000_hep-th_0009192_Supersymmetric_gauge_anomaly_with_general_homotopic_paths.pdf,pdfs/2000_hep-th_0009192_Supersymmetric_gauge_anomaly_with_general_homotopic_paths.pdf,2000_hep-th_0009192_Supersymmetric_gauge_anomaly_with_general_homotopic_paths.pdf,313704,37,c23f67ba3163c6f34bdad2baf5a00231d3ce5c714841cf896f76924255b6f9db,c23f67ba3163c6f34bdad2baf5a00231d3ce5c714841cf896f76924255b6f9db,matched,arXiv,https://arxiv.org/pdf/hep-th/0009192,0,,false,,,
